Incident_number,division,Zone,market_area,location_name,facility_type,description_of_location,Date_of_incident,time_of_incident,involved_employee_id,INVOLVED_EMPLOYEE_TITLE,INCIDENT_TYPE,WAS_A_MOTOR_VEHICLE_INVOLVED,DATE_REPORTED,HOW_DID_THE_INJURY_OCCUR,WHAT_WAS_THE_INJURY_OR_ILLNESS,DESCRIPTION_OF_INCIDENT,ROOT_CAUSE,INITIAL_ROOT_CAUSE,WHY_DID_THIS_OCCUR__WHY,WHY_DID_THIS_OCCUR__WHY1
CY25-01043,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Vehicle wash area,9/19/2025,12:28 PM,302957,Instant Return Rep,Property Damage,No,9/21/2024,Slip on fuel spill,Contusion/Bruise of Hand,Employee slipped on fuel overspray in Vehicle wash area during refueling operations.,Customer/3rd Party/Vendor related incident,Vendor equipment left unsecured in shared workspace.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01648,WESTERN DIVISION,SOUTHWEST ZONE,DENVER AP,DENVER INTL AP (02200-11),HLE,Employee entrance,2/17/2026,6:00 PM,450006,Transporter Car,Employee Incident,No,2/17/2025,Chemical splash during cleaning,No Physical Injury,Cleaning product container failure in Employee entrance caused unintended chemical contact.,Training Deficiency,Lack of defensive driving training for high-risk scenarios.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01876,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Service lot,4/6/2026,7:28 AM,414870,Mgr Customer Ops,Vehicle Incident (Motor Vehicle Accident),Yes,4/7/2025,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Newly resurfaced Service lot had unmarked elevation change that caused slip.,Training Deficiency,Volume spike exceeded safe working capacity defined in location risk assessment.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00965,CANADA,CA ALBERTA ZONE,TORONTO AP,TORONTO PEARSON INTL (08200-11),AIRPORT,Maintenance bay,9/1/2025,5:14 AM,303440,Mgr Customer Ops,Customer Incident,No,9/3/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Employee slipped on wet surface in Maintenance bay. Reported immediately and first aid administered on site.,Unpredictable event (personal issue),Medical event occurred without prior warning.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00492,WESTERN DIVISION,NORTH PACIFIC ZONE,PORTLAND AP,PORTLAND INTL AP (03200-14),ADMIN,Loading dock,5/5/2025,9:49 AM,663051,Safety Supervisor,Customer Incident,No,5/6/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Sustained repetitive tasks in Loading dock led to cumulative strain injury.,Customer/3rd Party/Vendor related incident,Customer became aggressive during return dispute.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00342,EASTERN DIVISION,MID ATLANTIC ZONE,NEW YORK JFK,JFK INTL AP (02100-14),AIRPORT,Counter area,3/29/2025,5:21 AM,705445,Instant Return Rep,Third Party or Contractor Incident,No,3/30/2024,Slip on fuel spill,Contusion/Bruise of Hand,Fuel leak at Counter area created slip hazard; employee slipped before area could be cleared.,Standard Work Procedures Insufficient or Non-existent,SWP not posted at point of use.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00199,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Employee entrance,2/21/2025,10:42 AM,296481,Counter Sales Rep,Customer Incident,No,2/24/2024,Vehicle collision at intersection,Contusion/Bruise of Hand,Vehicle collision occurred at Employee entrance intersection. Employee reported and vehicle assessed for damage.,Standard Work Procedures Insufficient or Non-existent,No documented SWP for this task found during investigation.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00439,EASTERN DIVISION,NORTHEAST ZONE,DETROIT AP,DETROIT METRO WAYNE (01650-11),MAINTENANCE,Employee entrance,4/22/2025,8:21 PM,489633,Transporter Car,Customer Incident,No,4/24/2024,Slip on fuel spill,Contusion/Bruise of Hand,Undetected fuel spill in Employee entrance led to slip and fall incident.,Failure to Identify Hazards,Hazard present for extended period without being flagged.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00174,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Customer pickup zone,2/14/2025,6:21 AM,197102,Safety Supervisor,Customer Incident,No,2/16/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,"Employee lifted oversized item without assistance in Customer pickup zone, causing strain injury.",Standard Work Procedures Insufficient or Non-existent,Procedure exists but has not been reviewed in over 12 months.,"Why was lifting heavy object caused back strain not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01603,EASTERN DIVISION,NORTHEAST ZONE,CHICAGO AP,O'HARE INTL AP (01850-22),AIRPORT,Loading dock,2/6/2026,9:28 PM,913205,Mgr Customer Ops,Employee Incident,No,2/7/2025,Chemical splash during cleaning,No Physical Injury,Cleaning product container failure in Loading dock caused unintended chemical contact.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00630,WESTERN DIVISION,NORTH PACIFIC ZONE,LOS ANGELES AP (LAX),LOS ANGELES INTL AP (01101-15),AIRPORT,Parking garage,6/7/2025,5:56 PM,221462,Transporter - Rideshare,Employee Incident,No,6/8/2024,Caught between equipment,Laceration of Finger,Employee sustained finger injury while positioning equipment in Parking garage.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why was caught between equipment not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01432,WESTERN DIVISION,NORTH PACIFIC ZONE,LOS ANGELES AP (LAX),LOS ANGELES INTL AP (01101-15),AIRPORT,Shuttle staging area,12/24/2025,8:56 AM,903398,Mechanic B,Employee Incident,No,12/24/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Employee reported onset of repetitive strain after extended shift in Shuttle staging area.,Training Deficiency,Insufficient onboarding for new equipment type.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01453,EASTERN DIVISION,SOUTHEAST ZONE,CHARLOTTE AP,CHARLOTTE DOUGLAS INTL (01550-13),AIRPORT,Customer pickup zone,12/29/2025,11:28 AM,390088,Shuttle Driver,Customer Incident,No,12/31/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Standing water in Customer pickup zone not marked with wet floor signage. Employee slipped while on regular duties.,Standard Work Procedures Insufficient or Non-existent,Procedure exists but has not been reviewed in over 12 months.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00610,WESTERN DIVISION,NORTH PACIFIC ZONE,LOS ANGELES AP (LAX),LOS ANGELES INTL AP (01101-15),AIRPORT,Shuttle staging area,6/1/2025,8:00 AM,753205,Counter Sales Rep,Third Party or Contractor Incident,No,6/3/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Repetitive scanning and data entry in Shuttle staging area caused wrist/shoulder strain.,Standard Work Procedures Insufficient or Non-existent,Procedure exists but has not been reviewed in over 12 months.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01331,WESTERN DIVISION,SOUTHWEST ZONE,HOUSTON AP,GEORGE BUSH INTCNTL (01700-18),AIRPORT,Vehicle wash area,11/29/2025,2:21 PM,279594,Mgr Customer Ops,Employee Incident,No,12/1/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,"Employee lifted oversized item without assistance in Vehicle wash area, causing strain injury.",Unpredictable event (personal issue),Medical event occurred without prior warning.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00764,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Service lot,7/10/2025,8:00 PM,211072,Mechanic B,Property Damage,No,7/10/2024,Hit by moving vehicle,Slip or Trip but did not fall,Employee in blind spot of reversing vehicle in Service lot.,Customer/3rd Party/Vendor related incident,Customer became aggressive during return dispute.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01527,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Employee entrance,1/18/2026,2:35 PM,957150,VSA,Employee Incident,No,1/19/2025,Struck head on low-hanging object,Burn of Hand,Unmarked low-hanging structure in Employee entrance caused head contact.,Process not error-proof,Warning signage absent or not visible from task position.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01777,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Shuttle staging area,3/16/2026,7:49 AM,201987,Shuttle Driver,Property Damage,No,3/16/2025,Vehicle collision at intersection,Contusion/Bruise of Hand,Temporary equipment staging in Shuttle staging area blocked emergency egress and reduced safe working width.,Poor Ergonomics,No formal temporary-worker integration protocol exists at this location.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01579,WESTERN DIVISION,SOUTHWEST ZONE,PHOENIX AP,PHOENIX SKY HARBOR (01950-17),AIRPORT,Breakroom,1/31/2026,4:42 PM,292259,Mechanic B,Third Party or Contractor Incident,No,2/1/2025,Chemical splash during cleaning,No Physical Injury,Cleaning chemical splashed employee's face/hands during routine cleaning in Breakroom.,Poor Ergonomics,No ergonomic assessment completed for this task.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00719,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Parking garage,6/29/2025,8:35 AM,601903,Service Agent,Customer Incident,No,7/1/2024,Hit by moving vehicle,Slip or Trip but did not fall,Near-miss escalated when vehicle contacted employee in Parking garage.,Customer/3rd Party/Vendor related incident,Customer became aggressive during return dispute.,"Why was hit by moving vehicle not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00463,EASTERN DIVISION,SOUTHEAST ZONE,CHARLOTTE AP,CHARLOTTE DOUGLAS INTL (01550-13),AIRPORT,Loading dock,4/28/2025,3:56 PM,780999,Safety Supervisor,Vehicle Incident (Motor Vehicle Accident),Yes,4/29/2024,Tripped over equipment,Other of Multiple Body Parts,Tripping hazard from unsecured equipment in Loading dock caused fall.,Process not error-proof,No physical guard or barrier to prevent access to pinch point.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00785,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Maintenance bay,7/16/2025,12:56 PM,266744,Fleet Coordinator,Customer Incident,No,7/16/2024,Caught between equipment,Laceration of Finger,Pinch point injury in Maintenance bay during equipment staging.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01443,WESTERN DIVISION,NORTH PACIFIC ZONE,LOS ANGELES AP (LAX),LOS ANGELES INTL AP (01101-15),AIRPORT,Counter area,12/27/2025,12:14 PM,794799,Customer Experience Associate,Employee Incident,No,12/28/2024,Hit by moving vehicle,Slip or Trip but did not fall,Employee struck by slow-moving vehicle in Counter area.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00711,EASTERN DIVISION,NORTHEAST ZONE,BOSTON LOGAN AP,BOSTON LOGAN INTL (01700-11),MAINTENANCE,Loading dock,6/27/2025,7:14 PM,422998,Transporter Car,Property Damage,No,6/29/2024,Chemical splash during cleaning,No Physical Injury,Cleaning chemical splashed employee's face/hands during routine cleaning in Loading dock.,Customer/3rd Party/Vendor related incident,Third-party delivery vehicle operating unsafely in return area.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00319,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Fuel island,3/23/2025,7:21 AM,956721,Transporter Car,Property Damage,No,3/24/2024,Vehicle collision at intersection,Contusion/Bruise of Hand,MVA in Fuel island involving Hertz vehicle. Third-party driver cited as at fault.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver distracted at time of collision.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00328,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Counter area,3/25/2025,5:49 PM,305171,Lot Attendant,Employee Incident,No,3/25/2024,Door closed on hand/finger,Laceration of Finger,Pinch point injury at vehicle door while working in Counter area.,Process not error-proof,Warning signage absent or not visible from task position.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00635,EASTERN DIVISION,NORTHEAST ZONE,DETROIT AP,DETROIT METRO WAYNE (01650-11),MAINTENANCE,Fuel island,6/8/2025,5:56 AM,523831,Service Agent,Customer Incident,No,6/8/2024,Tripped over equipment,Other of Multiple Body Parts,Employee stumbled over hose/equipment in Fuel island during regular duties.,Standard Work Procedures Insufficient or Non-existent,Employee unaware a procedure existed for this task.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00007,EASTERN DIVISION,SOUTHEAST ZONE,ATLANTA AP,ATLANTA AP (01450-11),AIRPORT,Fuel island,1/2/2025,8:28 AM,132699,Safety Supervisor,Customer Incident,No,1/3/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Wet conditions in Fuel island led to slip incident. Employee followed reporting protocols.,Failure to Identify Hazards,Area not inspected prior to shift start.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00710,WESTERN DIVISION,SOUTHWEST ZONE,PHOENIX AP,PHOENIX SKY HARBOR (01950-17),AIRPORT,Parking garage,6/27/2025,6:56 PM,321476,Customer Experience Associate,Property Damage,No,6/27/2024,Struck head on low-hanging object,Burn of Hand,Employee did not notice overhead obstruction while working in Parking garage.,Unpredictable event (personal issue),Employee reported feeling unwell earlier in shift.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00474,WESTERN DIVISION,SOUTH PACIFIC ZONE,SILICON VALLEY,UBER SOUTH SAN FRANCISCO (04505-22),TNC,Employee entrance,5/1/2025,2:14 PM,240800,Transporter - Rideshare,Third Party or Contractor Incident,No,5/3/2024,Door closed on hand/finger,Laceration of Finger,Employee's hand/finger caught in vehicle door during Employee entrance operations.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver distracted at time of collision.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01011,CANADA,CA ALBERTA ZONE,TORONTO AP,TORONTO PEARSON INTL (08200-11),AIRPORT,Shuttle staging area,9/12/2025,9:42 AM,578180,Transporter Car,Employee Incident,No,9/12/2024,Door closed on hand/finger,Laceration of Finger,Pinch point injury at vehicle door while working in Shuttle staging area.,Customer/3rd Party/Vendor related incident,Vendor equipment left unsecured in shared workspace.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01573,EASTERN DIVISION,NORTHEAST ZONE,BOSTON LOGAN AP,BOSTON LOGAN INTL (01700-11),MAINTENANCE,Counter area,1/30/2026,5:35 PM,336706,Lot Attendant,Third Party or Contractor Incident,No,2/1/2025,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Employee lost footing on vehicle entry step in Counter area.,Customer/3rd Party/Vendor related incident,Vendor equipment left unsecured in shared workspace.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00304,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Vehicle wash area,3/20/2025,6:56 PM,704349,Customer Experience Associate,Property Damage,No,3/20/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Standing water in Vehicle wash area not marked with wet floor signage. Employee slipped while on regular duties.,Customer/3rd Party/Vendor related incident,Contractor working on-site did not follow Hertz safety protocols.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
